Datetime,Temperature,Humidity,WindSpeed
1/1/2017 0:00,6.559,73.8,0.083
1/1/2017 0:10,6.414,74.5,0.083
1/1/2017 0:20,6.313,74.5,0.08
1/1/2017 0:30,6.121,75,0.083
1/1/2017 0:40,5.921,75.7,0.081
1/1/2017 0:50,5.853,76.9,0.081
1/1/2017 1:00,5.641,77.7,0.08
1/1/2017 1:10,5.496,78.2,0.085
1/1/2017 1:20,5.678,78.1,0.081
1/1/2017 1:30,5.491,77.3,0.082
1/1/2017 1:40,5.516,77.5,0.081
1/1/2017 1:50,5.471,76.7,0.083
1/1/2017 2:00,5.059,78.6,0.081
1/1/2017 2:10,4.968,78.8,0.084
1/1/2017 2:20,4.975,78.9,0.083
1/1/2017 2:30,4.897,79.1,0.083
1/1/2017 2:40,5.02,79.7,0.081
1/1/2017 2:50,5.407,78.5,0.082
1/1/2017 3:00,5.169,77.9,0.083
1/1/2017 3:10,5.081,77.7,0.084
1/1/2017 3:20,5.041,77.2,0.081
1/1/2017 3:30,5.034,76.9,0.083
1/1/2017 3:40,4.896,76.6,0.085
1/1/2017 3:50,4.805,76.2,0.081
1/1/2017 4:00,4.753,75.7,0.083
1/1/2017 4:10,4.901,74.4,0.083
1/1/2017 4:20,5.203,74.1,0.085
1/1/2017 4:30,5.394,71.9,0.081
1/1/2017 4:40,5.156,74,0.079
1/1/2017 4:50,5.179,74.2,0.083
1/1/2017 5:00,4.934,72.9,0.082
1/1/2017 5:10,4.718,75.8,0.08
1/1/2017 5:20,5.546,74,0.082
1/1/2017 5:30,4.658,73.5,0.08
1/1/2017 5:40,4.382,76.9,0.081
1/1/2017 5:50,4.212,78.3,0.081
1/1/2017 6:00,4.308,77.2,0.081
1/1/2017 6:10,4.735,74.3,0.08
1/1/2017 6:20,4.769,75.6,0.082
1/1/2017 6:30,4.92,73.7,0.083
1/1/2017 6:40,4.408,76.7,0.082
1/1/2017 6:50,4.29,77,0.085
1/1/2017 7:00,4.304,76,0.082
1/1/2017 7:10,4.513,74.6,0.084
1/1/2017 7:20,4.489,74.3,0.082
1/1/2017 7:30,4.356,72.3,0.082
1/1/2017 7:40,4.478,72.2,0.083
1/1/2017 7:50,4.583,71,0.083
1/1/2017 8:00,4.794,72,0.084
1/1/2017 8:10,4.807,73.1,0.082
1/1/2017 8:20,4.757,73.5,0.083
1/1/2017 8:30,4.509,74.5,0.084
1/1/2017 8:40,4.346,74.8,0.082
1/1/2017 8:50,4.718,73.7,0.081
1/1/2017 9:00,4.704,71.8,0.083
1/1/2017 9:10,4.624,74.1,0.082
1/1/2017 9:20,4.629,74.8,0.083
1/1/2017 9:30,4.599,74,0.082
1/1/2017 9:40,4.524,74.7,0.081
1/1/2017 9:50,4.575,74.5,0.082
1/1/2017 10:00,5.124,73.7,0.076
1/1/2017 10:10,5.836,71.3,2.66
1/1/2017 10:20,5.996,69.85,4.93
1/1/2017 10:30,6.22,68.81,4.924
1/1/2017 10:40,6.703,68.01,4.923
1/1/2017 10:50,6.993,66.14,4.918
1/1/2017 11:00,7.54,64.21,4.916
1/1/2017 11:10,8.22,61.9,4.916
1/1/2017 11:20,9.49,59.3,2.451
1/1/2017 11:30,10.65,56.03,0.084
1/1/2017 11:40,11.06,53.52,0.082
1/1/2017 11:50,12.4,53.26,0.08
1/1/2017 12:00,13.08,54.36,0.077
1/1/2017 12:10,14.38,54.42,0.076
1/1/2017 12:20,15.02,56.46,0.074
1/1/2017 12:30,15.55,58.7,0.075
1/1/2017 12:40,15.56,59.23,0.076
1/1/2017 12:50,15.49,59.3,0.076
1/1/2017 13:00,15.57,58.06,0.077
1/1/2017 13:10,15.65,58.7,0.077
1/1/2017 13:20,15.73,59.33,0.076
1/1/2017 13:30,15.68,58.6,0.079
1/1/2017 13:40,15.7,55.29,0.074
1/1/2017 13:50,15.75,52.45,0.077
1/1/2017 14:00,15.83,54.99,0.079
1/1/2017 14:10,15.79,56.66,0.076
1/1/2017 14:20,15.72,55.86,0.077
1/1/2017 14:30,15.8,54.06,0.075
1/1/2017 14:40,15.74,55.56,0.075
1/1/2017 14:50,15.72,56.69,0.077
1/1/2017 15:00,15.64,57.26,0.077
1/1/2017 15:10,15.69,57.96,0.074
1/1/2017 15:20,15.69,58.93,0.075
1/1/2017 15:30,15.6,58.7,0.073
1/1/2017 15:40,15.39,57.6,0.075
1/1/2017 15:50,15.34,58.7,0.075
1/1/2017 16:00,15.33,59.23,0.077
1/1/2017 16:10,15.48,57.46,0.074
1/1/2017 16:20,15.54,58.3,0.076
1/1/2017 16:30,15.53,58.8,0.077
